date,window_length_requested,actual_length,beta,pinned
1993-11-29,1000,988,1.0,True
1993-11-29,1500,988,1.0,True
1993-12-01,200,200,5.852541875564362e-17,False
1993-12-01,300,300,4.818041440249342e-11,False
1993-12-01,500,500,2.941417377110318e-12,False
1993-12-01,750,750,0.0,False
1993-12-01,1000,990,0.9999999652665139,True
1993-12-01,1500,990,0.9999999652665139,True
1993-12-09,200,200,0.7174321155576516,False
1993-12-09,300,300,0.0,False
1993-12-09,500,500,0.9911482232496447,False
1993-12-09,750,750,0.0,False
1993-12-09,1000,996,0.9999999764823175,True
1993-12-09,1500,996,0.9999999764823175,True
1993-12-17,200,200,0.0007184388256311558,False
1993-12-17,300,300,1.0545008951160135e-15,False
1993-12-17,500,500,0.967297885452436,False
1993-12-17,750,750,0.9994918246619201,False
1993-12-17,1000,1000,0.9999984783505557,True
1993-12-17,1500,1002,0.9999999998077997,True
1994-01-12,200,200,0.7222565991674287,False
1994-01-12,300,300,2.800898472830776e-16,False
1994-01-12,500,500,0.9739661240807367,False
1994-01-12,750,750,0.9985773081820221,False
1994-01-12,1000,1000,0.9996296123487972,False
1994-01-12,1500,1019,0.9999999999999969,True
1994-01-28,200,200,0.2799424724008262,False
1994-01-28,300,300,1.3425729388414245e-16,False
1994-01-28,500,500,0.9734455089970732,False
1994-01-28,750,750,0.9998968970506464,False
1994-01-28,1000,1000,0.999534281928058,False
1994-01-28,1500,1031,1.0,True
1994-02-04,200,200,0.811879186983204,False
1994-02-04,300,300,5.540625389890841e-16,False
1994-02-04,500,500,0.9722748683874534,False
1994-02-04,750,750,0.08968023696752209,False
1994-02-04,1000,1000,0.9983283308207469,False
1994-02-04,1500,1036,1.0,True
1994-02-22,200,200,0.9728795114817069,False
1994-02-22,300,300,6.351991760465952e-17,False
1994-02-22,500,500,0.9699475635055366,False
1994-02-22,750,750,0.9997461075329587,False
1994-02-22,1000,1000,0.9974407782223752,False
1994-02-22,1500,1047,0.9999982934174525,True
1994-03-24,200,200,0.11598333978381332,False
1994-03-24,300,300,3.603509044175128e-18,False
1994-03-24,500,500,0.9686697645822667,False
1994-03-24,750,750,0.9969669869920224,False
1994-03-24,1000,1000,0.9990854295637913,False
1994-03-24,1500,1069,1.0,True
1994-05-02,200,200,0.1767452874409904,False
1994-05-02,300,300,0.0,False
1994-05-02,500,500,0.9221823510014608,False
1994-05-02,750,750,0.27074547821983247,False
1994-05-02,1000,1000,0.9996716760741571,False
1994-05-02,1500,1094,0.9999999999998265,True
1994-05-10,200,200,0.4688551665911269,False
1994-05-10,300,300,0.8198975158878833,False
1994-05-10,500,500,0.9221916758839316,False
1994-05-10,750,750,0.0,False
1994-05-10,1000,1000,0.0,False
1994-05-10,1500,1100,1.0,True
