strategy,direction,entry_date,exit_date,days_held,trade_return,exit_reason
mean_reversion,-1,2019-07-05,2019-07-12,5,-0.0013642523588134987,reverted
mean_reversion,1,2019-08-05,2019-08-06,1,-0.0302301821696948,regime_flip
vol_breakout,-1,2019-08-06,2019-08-09,3,-0.0322880687118905,regime_flip
vol_breakout,-1,2019-08-15,2019-08-19,2,-0.0167842948704252,regime_flip
vol_breakout,-1,2019-08-26,2019-08-27,1,-0.010923112730798,regime_flip
vol_breakout,-1,2019-10-03,2019-10-04,1,-0.0079403047738662,regime_flip
mean_reversion,-1,2019-10-16,2019-10-23,5,-0.00010349655373979947,reverted
mean_reversion,-1,2019-11-29,2019-12-03,2,0.012687769923953499,reverted
mean_reversion,-1,2019-12-17,2019-12-31,9,-0.00930656889632945,reverted
mean_reversion,-1,2020-01-21,2020-02-04,10,0.024535609185735,reverted
mean_reversion,-1,2020-02-10,2020-02-21,8,-0.013586368520416,reverted
vol_breakout,-1,2020-02-25,2020-03-03,5,0.0429633323913839,trailing_stop
vol_breakout,1,2020-03-03,2020-03-05,2,0.012825864437719103,regime_flip
vol_breakout,-1,2020-03-06,2020-03-13,5,0.19804404937797648,max_hold
vol_breakout,-1,2020-03-13,2020-03-16,1,-0.0888084069492354,trailing_stop
vol_breakout,1,2020-03-16,2020-03-17,1,-0.127652197472817,trailing_stop
vol_breakout,-1,2020-03-17,2020-03-24,5,0.06435832378893121,max_hold
mean_reversion,-1,2020-03-31,2020-04-01,1,0.0161423107884157,regime_flip
vol_breakout,-1,2020-04-02,2020-04-07,3,-0.0752880403758462,regime_flip
mean_reversion,-1,2020-04-14,2020-04-23,7,-0.013551936491258399,reverted
mean_reversion,-1,2020-05-21,2020-06-05,10,-0.0462741696057393,max_hold
mean_reversion,-1,2020-06-08,2020-06-22,10,0.030579301849791005,max_hold
mean_reversion,-1,2020-07-07,2020-07-21,10,-0.0224278836238445,max_hold
mean_reversion,-1,2020-08-07,2020-08-20,9,-0.007641365945207902,reverted
mean_reversion,-1,2020-08-27,2020-09-11,10,0.040939033975696704,max_hold
mean_reversion,1,2020-09-11,2020-09-17,4,0.013770404221458902,reverted
mean_reversion,-1,2020-10-14,2020-10-19,3,0.0080391851416425,reverted
vol_breakout,-1,2020-10-29,2020-10-30,1,-0.0118765249399981,regime_flip
mean_reversion,-1,2020-11-05,2020-11-19,10,-0.0354754127297241,reverted
mean_reversion,-1,2021-01-12,2021-01-15,3,0.0010717546514486002,reverted
mean_reversion,-1,2021-01-26,2021-02-03,6,0.007563508114296695,reverted
mean_reversion,-1,2021-02-08,2021-02-19,8,-0.006958261181351301,reverted
vol_breakout,-1,2021-02-26,2021-03-01,1,0.0047615322937986,regime_flip
vol_breakout,-1,2021-03-04,2021-03-08,2,-0.0058003182743195,regime_flip
mean_reversion,-1,2021-03-12,2021-03-25,9,0.012825193022534199,regime_flip
mean_reversion,-1,2021-04-08,2021-04-21,9,-0.013388082450672906,reverted
vol_breakout,-1,2021-05-13,2021-05-17,2,-0.0269074231417167,regime_flip
mean_reversion,-1,2021-06-28,2021-07-13,10,-0.023988623725106097,max_hold
mean_reversion,1,2021-07-20,2021-07-22,2,0.0232568476669427,reverted
mean_reversion,-1,2021-07-27,2021-08-02,4,0.006133244376717899,reverted
mean_reversion,-1,2021-08-26,2021-09-08,8,-0.005288225005685499,reverted
vol_breakout,-1,2021-09-21,2021-09-23,2,-0.0086618965656716,regime_flip
vol_breakout,-1,2021-09-29,2021-10-04,3,-0.0010127035046031997,regime_flip
vol_breakout,-1,2021-10-05,2021-10-06,1,-0.0104695174986009,regime_flip
mean_reversion,-1,2021-10-20,2021-10-28,6,-0.0070663280442494,reverted
mean_reversion,-1,2021-11-04,2021-11-15,7,-0.0047691992556619985,reverted
mean_reversion,1,2021-11-29,2021-12-02,3,-0.017915086562982803,regime_flip
vol_breakout,-1,2021-12-02,2021-12-07,3,-0.0172727825640049,regime_flip
mean_reversion,-1,2021-12-09,2021-12-16,5,-0.001836167040160399,reverted
mean_reversion,-1,2021-12-29,2022-01-04,4,-0.0021308693568665993,reverted
vol_breakout,-1,2022-01-06,2022-01-10,2,0.005022674822516299,regime_flip
vol_breakout,-1,2022-01-24,2022-01-31,5,-0.007680889990282901,trailing_stop
vol_breakout,1,2022-01-31,2022-02-01,1,0.0187098262229845,regime_flip
mean_reversion,-1,2022-02-03,2022-02-08,3,0.023258374208085197,reverted
vol_breakout,-1,2022-02-18,2022-02-25,4,0.0211243275949451,regime_flip
vol_breakout,-1,2022-03-08,2022-03-10,2,-0.0181135541464421,regime_flip
vol_breakout,1,2022-03-16,2022-03-17,1,0.0221369216483928,regime_flip
mean_reversion,-1,2022-03-21,2022-04-01,9,-0.014964378328596002,reverted
vol_breakout,-1,2022-04-12,2022-04-14,2,-0.007689302738448601,regime_flip
vol_breakout,-1,2022-04-25,2022-04-29,4,-0.0036732605813121037,trailing_stop
vol_breakout,1,2022-04-29,2022-05-02,1,-0.0369591597846952,trailing_stop
vol_breakout,-1,2022-05-02,2022-05-05,3,-0.0399098859265051,regime_flip
vol_breakout,-1,2022-05-06,2022-05-13,5,0.053694059282957306,max_hold
vol_breakout,1,2022-05-16,2022-05-18,2,0.0160147110637396,regime_flip
vol_breakout,-1,2022-05-19,2022-05-26,5,-0.013932696472076999,max_hold
mean_reversion,-1,2022-05-31,2022-06-07,5,0.008891731022057401,reverted
vol_breakout,-1,2022-06-10,2022-06-17,5,0.0914283131182446,max_hold
vol_breakout,-1,2022-06-17,2022-06-24,4,-0.0345655746918839,trailing_stop
vol_breakout,-1,2022-06-29,2022-07-06,4,-0.0025715213362930006,regime_flip
mean_reversion,-1,2022-07-22,2022-07-27,3,0.0196723269197711,reverted
mean_reversion,-1,2022-08-01,2022-08-08,5,-0.0036009798778009004,reverted
